Permit Number,Permit Type,Permit Type Definition,Permit Creation Date,Block,Lot,Street Number,Street Number Suffix,Street Name,Street Suffix,Unit,Unit Suffix,Description,Current Status,Current Status Date,Filed Date,Issued Date,Completed Date,First Construction Document Date,Structural Notification,Number of Existing Stories,Number of Proposed Stories,Voluntary Soft-Story Retrofit,Fire Only Permit,Permit Expiration Date,Estimated Cost,Revised Cost,Existing Use,Existing Units,Proposed Use,Proposed Units,Plansets,TIDF Compliance,Existing Construction Type,Existing Construction Type Description,Proposed Construction Type,Proposed Construction Type Description,Site Permit,Supervisor District,Neighborhoods - Analysis Boundaries,Zipcode,Location,Record ID
201505065519,4,sign - erect,5/6/2015,326,23,140,,Ellis,St,,,"ground fl facade: to erect illuminated, electric, wall, single faced sign. n/a for maher ordinance 155-13.",expired,12/21/2017,5/6/2015,11/9/2015,,11/9/2015,,6,,,,11/3/2016,4000,4000,tourist hotel/motel,143,,,2,,3,constr type 3,,,,3,Tenderloin,94102,"(37.785719256680785, -122.40852313194863)",1380611233945
201604195146,4,sign - erect,4/19/2016,306,7,440,,Geary,St,0,,remove (e) awning and associated signs.,issued,8/3/2017,4/19/2016,8/3/2017,,8/3/2017,,7,,,,12/3/2017,1,500,tourist hotel/motel,,,,2,,3,constr type 3,,,,3,Tenderloin,94102,"(37.78733980600732, -122.41063199757738)",1420164406718
201605278609,3,additions alterations or repairs,5/27/2016,595,203,1647,,Pacific,Av,,,installation of separating wall,withdrawn,9/26/2017,5/27/2016,,,,,6,6,,,,20000,,retail sales,39,retail sales,39,2,,1,constr type 1,1,constr type 1,,3,Russian Hill,94109,"(37.7946573324287, -122.42232562979227)",1424856504716
201611072166,8,otc alterations permit,11/7/2016,156,11,1230,,Pacific,Av,0,,repair dryrot & stucco at front of bldg.,complete,7/24/2017,11/7/2016,7/18/2017,7/24/2017,7/18/2017,,2,2,,,7/13/2018,2000,2000,1 family dwelling,1,1 family dwelling,1,2,,5,wood frame (5),5,wood frame (5),,3,Nob Hill,94109,"(37.79595867909168, -122.41557405519474)",1443574295566
201611283529,6,demolitions,11/28/2016,342,1,950,,Market,St,,,demolish retail/office/commercial 3-story building,issued,12/1/2017,11/28/2016,12/1/2017,,11/20/2017,,3,,,,12/1/2018,100000,100000,retail sales,,,,2,,3,constr type 3,,,,6,Tenderloin,94102,"(37.78315261897309, -122.40950883997789)",144548169992
201706149344,8,otc alterations permit,6/14/2017,4105,9,800,,Indiana,St,,,evac maps,issued,7/6/2017,6/14/2017,7/6/2017,,7/6/2017,,5,5,,Y,7/1/2018,4000,4000,apartments,326,apartments,326,2,,1,constr type 1,1,constr type 1,,10,Potrero Hill,94107,"(37.75922331346539, -122.39170402628598)",1466911170855
201706300814,8,otc alterations permit,6/30/2017,1739,20,1291,,11th,Av,0,,re-roofing,complete,7/12/2017,6/30/2017,6/30/2017,7/12/2017,6/30/2017,,3,3,,,6/25/2018,12000,12000,apartments,5,apartments,5,0,,5,wood frame (5),5,wood frame (5),,5,Inner Sunset,94122,"(37.764145640138565, -122.46875112470363)",1468970403692
M803667,8,otc alterations permit,6/30/2017,4789,14,1465,,Revere,Av,,,streetspace,issued,6/30/2017,6/30/2017,6/30/2017,,6/30/2017,,,,,,,,0,,,,,,,,,,,,10,Bayview Hunters Point,94124,"(37.73005099023611, -122.38784938916618)",1469035175050
M804227,8,otc alterations permit,7/5/2017,1212,54,2094,,Fell,St,,,street space permit,issued,7/5/2017,7/5/2017,7/5/2017,,7/5/2017,,,,,,,,1,,,,,,,,,,,,5,Lone Mountain/USF,94117,"(37.772393498502595, -122.45231466824669)",1469198253772
M804767,8,otc alterations permit,7/6/2017,1259,16,89,,Alpine,Tr,,,street space,issued,7/6/2017,7/6/2017,7/6/2017,,7/6/2017,,,,,,,,0,,,,,,,,,,,,8,Haight Ashbury,94117,"(37.7691724293766, -122.43734859051908)",146932394171
M805287,8,otc alterations permit,7/6/2017,3541,1,106,,Sanchez,St,,,street space,issued,7/6/2017,7/6/2017,7/6/2017,,7/6/2017,,,,,,,,1,,,,,,,,,,,,8,Castro/Upper Market,94114,"(37.767349757757145, -122.43140682973024)",1469445246849
M805907,8,otc alterations permit,7/7/2017,829,21,675,,Fell,St,,,street space,issued,7/7/2017,7/7/2017,7/7/2017,,7/7/2017,,,,,,,,1,,,,,,,,,,,,5,Hayes Valley,94102,"(37.774914087334544, -122.42886839796792)",146961582526
